,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,chapter,name
404,FLUDROCORTISONE,300,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,100,tablet,06.03.01,Replacement therapy
405,FLUDROCORTISONE,400,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,100,tablet,06.03.01,Replacement therapy
408,LEVOFLOXACIN,250,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,5,tablet,05.01.12,Quinolones
409,LEVOFLOXACIN,250,Oral,mg,BD,Tablets,250 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
410,BETAHISTINE,16,Oral,mg,TDS,Tablets,16 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,84,tablet,4.06,Drugs used in nausea and vertigo
415,RISPERIDONE,500,Oral,microgram,BD,Tablets,500 microgram,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,20,tablet,04.02.01,Antipsychotic drugs
417,MEMANTINE,10,Oral,mg,OM,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,28,tablet,4.11,Drugs for dementia
419,FLUDROCORTISONE,150,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,30,tablet,06.03.01,Replacement therapy
420,FLUDROCORTISONE,150,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,100,tablet,06.03.01,Replacement therapy
421,RISPERIDONE,500,Oral,microgram,BD,Tablets,500 microgram,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,20,tablet,04.02.01,Antipsychotic drugs
424,AZATHIOPRINE,100,Oral,mg,OD,Tablets,50 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,56,tablet,08.02.01,Antiproliferative immunosuppressants
425,AZATHIOPRINE,150,Oral,mg,OD,Tablets,50 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,56,tablet,08.02.01,Antiproliferative immunosuppressants
426,HYDROXYCHLOROQUINE,200,Oral,mg,BD,Tablets,200 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,60,tablet,10.01.03,Rheumatic disease suppressant drugs
428,LEVOTHYROXINE SODIUM,50,Oral,microgram,OM,Tablets,50 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
435,ATENOLOL,50,Oral,mg,OM,Tablets,50 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
437,ALLOPURINOL,300,Oral,mg,OM,Tablets,300 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,28,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
438,SERTRALINE,150,Oral,mg,OM,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
442,SIMVASTATIN,40,Oral,mg,ON,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
449,LEVOTHYROXINE SODIUM,100,Oral,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
460,TICAGRELOR,90,Oral,mg,BD,Tablets,90 mg,N,CARDIVASCULAR SYSTEM,2.09,Pack,56,tablet,2.09,Antiplatelet drugs
463,LEVOFLOXACIN,500,Oral,mg,OM,Tablets,500 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
469,PARACETAMOL ,"1,000.00",Oral,mg,QDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
470,PARACETAMOL ,"1,000.00",Oral,mg,QDS,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
471,CODEINE PHOSPHATE,15,Oral,mg,QDS,Tablets,15 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
475,ZOPICLONE,7.5,Oral,mg,ON,Tablets,7.5 mg,N,CENTRAL NERVOUS SYSTEM,04.01.01,Pack,28,tablet,04.01.01,Hypnotics
491,BISOPROLOL,2.5,Oral,mg,OM,Tablets,1.25 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
493,PARACETAMOL ,"1,000.00",Oral,mg,6H,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
494,PARACETAMOL ,"1,000.00",Oral,mg,6H,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
498,MONTELUKAST,10,Oral,mg,ON,Tablets,10 mg,N,RESPIRATORY SYSTEM,03.03.02,Pack,28,tablet,03.03.02,Leukotriene receptor antagonists
502,CARBIMAZOLE,15,Oral,mg,BD,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.02.02,Pack,100,tablet,06.02.02,Antithyroid drugs
503,PROPRANOLOL,40,Oral,mg,TDS,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
504,PROPRANOLOL,80,Oral,mg,TDS,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
505,TOPIRAMATE,25,Oral,mg,BD,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
508,AMITRIPTYLINE,10,Oral,mg,ON,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
511,LEVETIRACETAM,250,Oral,mg,BD,Tablets,250 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
512,PROCHLORPERAZINE,10,Oral,mg,TDS,Tablets,5 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,28,tablet,4.06,Drugs used in nausea and vertigo
513,PROCHLORPERAZINE,10,Oral,mg,TDS,Tablets,5 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,84,tablet,4.06,Drugs used in nausea and vertigo
514,DIHYDROCODEINE,30,Oral,mg,QDS,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
515,DIHYDROCODEINE,30,Oral,mg,QDS,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,30,tablet,04.07.02,Opioid analgesics
521,CODEINE PHOSPHATE,60,Oral,mg,6H,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
522,IBUPROFEN,400,Oral,mg,8H,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,24,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
523,IBUPROFEN,400,Oral,mg,8H,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,48,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
524,IBUPROFEN,400,Oral,mg,8H,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
525,DOXAZOSIN,1,Oral,mg,OM,Tablets,1 mg,N,CARDIVASCULAR SYSTEM,02.05.04,Pack,28,tablet,02.05.04,Alpha-adrenoceptor blocking drugs
527,LERCANIDIPINE,10,Oral,mg,OM,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
528,DIAZEPAM,2,Oral,mg,TDS,Tablets,2 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
530,DIAZEPAM,2,Oral,mg,TDS,Tablets,2 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
544,LORAZEPAM,2.5,Oral,mg,TDS,Tablets,2.5 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
553,LORAZEPAM,2.5,Oral,mg,TDS,Tablets,2.5 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
557,SENNA,1,Oral,tablet,ON,Tablets,7.5 mg,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,20,tablet,01.06.02,Stimulant laxatives
558,SENNA,1,Oral,tablet,ON,Tablets,7.5 mg,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,60,tablet,01.06.02,Stimulant laxatives
559,SENNA,1,Oral,tablet,ON,Tablets,7.5 mg,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,100,tablet,01.06.02,Stimulant laxatives
560,SENNA,1,Oral,tablet,ON,Tablets,7.5 mg,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,500,tablet,01.06.02,Stimulant laxatives
561,MIRTAZAPINE,30,Oral,mg,ON,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,28,tablet,04.03.04,Other antidepressant drugs
562,OLANZAPINE,5,Oral,mg,ON,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
563,DONEPEZIL,10,Oral,mg,ON,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,28,tablet,4.11,Drugs for dementia
565,DEXAMETHASONE,6,Oral,mg,OM,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,50,tablet,06.03.02,Glucocorticoid therapy
566,DEXAMETHASONE,6,Oral,mg,OM,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,100,tablet,06.03.02,Glucocorticoid therapy
567,DEXAMETHASONE,6,Oral,mg,OM,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,500,tablet,06.03.02,Glucocorticoid therapy
569,CODEINE PHOSPHATE,30,Oral,mg,6H,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
572,SERTRALINE,200,Oral,mg,OM,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
577,CODEINE PHOSPHATE,60,Oral,mg,6H,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
578,CODEINE PHOSPHATE,30,Oral,mg,6H,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
579,EDOXABAN,60,Oral,mg,OM,Tablets,60 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,28,Tablet,02.08.02,Oral anticoagulants
580,PRAVASTATIN,40,Oral,mg,ON,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
581,LEVOTHYROXINE SODIUM,25,Oral,microgram,OM,Tablets,25 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
586,LEVOTHYROXINE SODIUM,75,Oral,microgram,OM,Tablets,50 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
588,CYCLIZINE,50,Oral,mg,8H,Tablets,50 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,100,tablet,4.06,Drugs used in nausea and vertigo
593,NAPROXEN,500,Oral,mg,BD,Tablets,500 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,28,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
600,ONDANSETRON,4,Oral,mg,TDS,Tablets,4 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,tablet,4.06,Drugs used in nausea and vertigo
601,ONDANSETRON,4,Oral,mg,TDS,Tablets,4 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,30,tablet,4.06,Drugs used in nausea and vertigo
602,SOLIFENACIN,10,Oral,mg,OM,Tablets,10 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Pack,30,tablet,07.04.02,Drugs for urinary frequency enuresis and incontinence
603,NICORANDIL,10,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
606,EZETIMIBE,10,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
607,DAPAGLIFLOZIN,10,Oral,mg,OM,Tablets,10 mg,N,ENDOCRINE SYSTEM,06.01.02,Pack,28,tablet,06.01.02,Antidiabetic drugs
608,BISOPROLOL,2.5,Oral,mg,BD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
612,APIXABAN,10,Oral,mg,BD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,56,tablet,02.08.02,Oral anticoagulants
614,LEVOTHYROXINE SODIUM,150,Oral,microgram,OM,Tablets,50 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
617,NAPROXEN,500,Oral,mg,BD,Tablets,500 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,28,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
627,BISOPROLOL,3.75,Oral,mg,OM,Tablets,1.25 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
630,TERBINAFINE,250,Oral,mg,OM,Tablets,250 mg,N,INFECTIONS,5.02,Pack,14,tablet,5.02,Antifungal drugs
631,TERBINAFINE,250,Oral,mg,OM,Tablets,250 mg,N,INFECTIONS,5.02,Pack,28,tablet,5.02,Antifungal drugs
632,AZATHIOPRINE,150,Oral,mg,OM,Tablets,50 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,56,tablet,08.02.01,Antiproliferative immunosuppressants
640,MELOXICAM,15,Oral,mg,OM,Tablets,15 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,30,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
642,FEXOFENADINE,120,Oral,mg,ON,Tablets,120 mg,N,RESPIRATORY SYSTEM,03.04.01,Pack,30,tablet,03.04.01,Antihistamines
652,THIAMINE,50,Oral,mg,TDS,Tablets,50 mg,N,NUTRITION AND BLOOD,09.06.02,Bottle,100,tablet,09.06.02,Vitamin B group
654,DOMPERIDONE,10,Oral,mg,TDS,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,30,tablet,4.06,Drugs used in nausea and vertigo
655,DOMPERIDONE,10,Oral,mg,TDS,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,100,tablet,4.06,Drugs used in nausea and vertigo
677,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,24,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
678,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,48,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
679,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
682,DIAZEPAM,5,Oral,mg,ON,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
683,METRONIDAZOLE,400,Oral,mg,8H,Tablets,400 mg,N,INFECTIONS,05.01.11,Bottle,21,tablet,05.01.11,"Metronidazole, tinidazole and ornidazole"
686,LORAZEPAM,500,Oral,microgram,ON,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
687,HYOSCINE BUTYLBROMIDE,10,Oral,mg,TDS,Tablets,10 mg,Y,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,56,tablet,1.02,Antispasmodics and other drugs altering gut motility
689,FUROSEMIDE,80,Oral,mg,BD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
693,IBUPROFEN,200,Oral,mg,QDS,Tablets,200 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,24,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
694,IBUPROFEN,200,Oral,mg,QDS,Tablets,200 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
699,CODEINE PHOSPHATE,30,Oral,mg,QDS,Tablets,15 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
701,NITROFURANTOIN,50,Oral,mg,OD,Tablets,100 mg,N,INFECTIONS,05.01.13,Pack,28,tablet,05.01.13,Urinary-tract infections
704,DONEPEZIL,10,Oral,mg,OM,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,28,tablet,4.11,Drugs for dementia
726,CITALOPRAM,20,PO / NG / PEG,mg,OM,Tablets,20 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
737,CLOBAZAM,10,PO / NG / PEG,mg,OM,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,30,tablet,04.08.01,Control of epilepsy
738,CLOBAZAM,20,PO / NG / PEG,mg,ON,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,30,tablet,04.08.01,Control of epilepsy
743,PROPRANOLOL,40,Oral,mg,OM,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
744,BACLOFEN,10,Oral,mg,OM,Tablets,10 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,84,tablet,10.02.02,Skeletal muscle relaxants
747,LAMOTRIGINE,200,Oral,mg,BD,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
748,CLOBAZAM,10,Oral,mg,OM,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,30,tablet,04.08.01,Control of epilepsy
749,ARIPIPRAZOLE,15,Oral,mg,OM,Tablets,15 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
751,PROCYCLIDINE,5,Oral,mg,TDS,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,04.09.02,Pack,28,tablet,04.09.02,Antimuscarinic drugs used in parkinsonism
761,TRIMETHOPRIM,200,Oral,mg,BD,Tablets,200 mg,N,INFECTIONS,05.01.08,Pack,14,tablet,05.01.08,Sulfonamides and trimethoprim
764,NICORANDIL,20,Oral,mg,BD,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
769,LEVETIRACETAM,1,Oral,g,BD,Tablets,1 g,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
776,ACETAZOLAMIDE,250,Oral,mg,BD,Tablets,250 mg,N,EYE,11.06,Pack,112,tablet,11.06,Treatment of glaucoma
781,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,24,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
782,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,48,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
783,IBUPROFEN,400,Oral,mg,TDS,Tablets,400 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
792,LABETALOL,50,Oral,mg,BD,Tablets,50 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,56,tablet,2.04,Beta-adrenoceptor blocking drugs
793,LABETALOL,100,Oral,mg,BD,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,56,tablet,2.04,Beta-adrenoceptor blocking drugs
794,LABETALOL,50,Oral,mg,BD,Tablets,50 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,56,tablet,2.04,Beta-adrenoceptor blocking drugs
795,LEVOTHYROXINE SODIUM,25,Oral,microgram,OM,Tablets,25 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
797,LEVOTHYROXINE SODIUM,50,Oral,microgram,OM,Tablets,50 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
798,CARBIMAZOLE,20,Oral,mg,BD,Tablets,20 mg,N,ENDOCRINE SYSTEM,06.02.02,Bottle,100,tablet,06.02.02,Antithyroid drugs
799,PROPRANOLOL,20,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,2.04,Bottle,28,tablet,2.04,Beta-adrenoceptor blocking drugs
801,CARBIMAZOLE,5,Oral,mg,OM,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.02.02,Pack,100,tablet,06.02.02,Antithyroid drugs
813,LEVOTHYROXINE SODIUM,75,Oral,microgram,OM,Tablets,25 microgram,N,ENDOCRINE SYSTEM,06.02.01,Pack,28,tablet,06.02.01,Thyroid hormones
814,RIVAROXABAN,2.5,Oral,mg,BD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,56,Tablet,02.08.02,Oral anticoagulants
815,PYRIDOXINE,25,Oral,mg,OM,Tablets,50 mg,N,NUTRITION AND BLOOD,09.06.02,Pack,28,tablet,09.06.02,Vitamin B group
816,ISONIAZID,300,Oral,mg,OM,Tablets,100 mg,N,INFECTIONS,05.01.09,Pack,28,tablet,05.01.09,Antituberculosis drugs
818,ALLOPURINOL,100,Oral,mg,OM,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,28,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
822,NAPROXEN,500,Oral,mg,BD,Tablets,250 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,28,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
823,NAPROXEN,500,Oral,mg,BD,Tablets,250 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,56,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
825,DIAZEPAM,2,Oral,mg,OM,Tablets,2 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
827,ROSUVASTATIN,5,Oral,mg,ON,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
828,PAROXETINE,20,Oral,mg,OM,Tablets,20 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,30,tablet,04.03.03,Selective serotonin re-uptake inhibitors
831,IVABRADINE,5,Oral,mg,BD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,56,tablet,02.06.03,Other antianginal drugs
834,LEVETIRACETAM,250,Oral,mg,BD,Tablets,250 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
837,HYOSCINE BUTYLBROMIDE,10,Oral,mg,TDS,Tablets,10 mg,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,56,tablet,1.02,Antispasmodics and other drugs altering gut motility
838,OXYBUTYNIN,5,Oral,mg,OM,Tablets,5 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Pack,56,tablet,07.04.02,Drugs for urinary frequency enuresis and incontinence
839,OXYBUTYNIN,5,Oral,mg,OM,Tablets,5 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Pack,84,tablet,07.04.02,Drugs for urinary frequency enuresis and incontinence
841,CIPROFLOXACIN,750,Oral,mg,BD,Tablets,750 mg,N,INFECTIONS,05.01.12,Pack,10,tablet,05.01.12,Quinolones
842,LINEZOLID,600,Oral,mg,BD,Tablets,600 mg,N,INFECTIONS,05.01.07,Pack,10,tablet,05.01.07,Some other antibacterials
847,NITROFURANTOIN,100,Oral,mg,OM,Tablets,100 mg,N,INFECTIONS,05.01.13,Pack,28,tablet,05.01.13,Urinary-tract infections
857,ATORVASTATIN,80,Oral,mg,ON,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
860,MIRTAZAPINE,45,Oral,mg,ON,Tablets,45 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,28,tablet,04.03.04,Other antidepressant drugs
863,DEXAMETHASONE,8,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,50,tablet,06.03.02,Glucocorticoid therapy
864,DEXAMETHASONE,8,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,50,tablet,06.03.02,Glucocorticoid therapy
865,DEXAMETHASONE,8,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,100,tablet,06.03.02,Glucocorticoid therapy
866,DEXAMETHASONE,8,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,100,tablet,06.03.02,Glucocorticoid therapy
867,DEXAMETHASONE,8,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,500,tablet,06.03.02,Glucocorticoid therapy
868,DEXAMETHASONE,8,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,500,tablet,06.03.02,Glucocorticoid therapy
871,APIXABAN,5,Oral,mg,BD,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.08.02,Pack,56,tablet,02.08.02,Oral anticoagulants
873,BISOPROLOL,10,Oral,mg,OM,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
876,LAMOTRIGINE,100,Oral,mg,OM,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
878,LAMOTRIGINE,150,Oral,mg,BD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
