drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,strength
LEVETIRACETAM,500,Oral,mg,BD,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
MORPHINE SULFATE,5,Oral,mg,Every hour,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,Every hour,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,Every hour,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,Every hour,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PARACETAMOL,"1,000.00",Oral,mg,QDS,Oral Suspension,250 mg/5ml,2004531,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
PARACETAMOL,500,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2004531,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
KETAMINE (ORANGE),10,Oral,mg,QDS,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
LEVETIRACETAM,"1,000.00",Oral,mg,BD,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
KETAMINE (ORANGE),10,Oral,mg,6H,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,BD,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,5,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
PARACETAMOL SUGAR FREE,"1,000.00",Oral,mg,QDS,Oral Suspension,250 mg/5ml,2005478,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
DIAZEPAM,"3,000.00",Oral,microgram,OD,Oral Solution Sugar Free,2 mg/5ml,1013950,N,CENTRAL NERVOUS SYSTEM,04.01.02,Bottle,100,mL,"['2 mg', '5ml']"
DIAZEPAM,"2,000.00",Oral,microgram,OD,Oral Solution Sugar Free,2 mg/5ml,1013950,N,CENTRAL NERVOUS SYSTEM,04.01.02,Bottle,100,mL,"['2 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,Every hour,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,10,Oral,mg,Every hour,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,Every 3 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
SODIUM PICOSULFATE,5,Oral,mg,ON,Oral Solution,5 mg/5ml,1004727,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,100,mL,"['5 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,4H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
PREGABALIN,100,Oral,mg,BD,Oral Solution Sugar Free,20 mg/ml,1019297,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,473,mL,"['20 mg', 'ml']"
METOCLOPRAMIDE,10,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1005899,Y,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,150,mL,"['5 mg', '5ml']"
AMITRIPTYLINE,100,Oral,mg,ON,Oral Solution Sugar Free,25 mg/5ml,9001932,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,150,mL,"['25 mg', '5ml']"
LORAZEPAM,1,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,2004007,N,CENTRAL NERVOUS SYSTEM,04.01.02,Batch,50,mL,"['5 mg', '5ml']"
LORAZEPAM,1,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,2004007,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,150,mL,"['5 mg', '5ml']"
PARACETAMOL SUGAR FREE,500,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2005478,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
CHLORPHENAMINE,"2,000.00",Oral,microgram,QDS,Oral Solution Sugar Free,2 mg/5ml,3003306,Y,RESPIRATORY SYSTEM,03.04.01,Bottle,150,mL,"['2 mg', '5ml']"
FOLIC ACID,1,Oral,mg,THREE TIMES A WEEK,Oral Solution Sugar Free,2.5 mg/5ml,1003508,N,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],6,Oral,mg,Once a week on a Tuesday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,35,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],6,Oral,mg,Once a week on a Tuesday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Bottle,65,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],6,Oral,mg,Once a week on a Tuesday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,1,mL,"['2 mg', 'ml']"
FOLIC ACID,1,Oral,mg,OD,Oral Solution Sugar Free,2.5 mg/5ml,1003508,N,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],8,Oral,mg,Once a week on a Wednesday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,35,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],8,Oral,mg,Once a week on a Wednesday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Bottle,65,mL,"['2 mg', 'ml']"
METHOTREXATE [:NPSA HIGH RISK MEDICINE],8,Oral,mg,Once a week on a Wednesday morning,Oral Solution,2 mg/ml,1021917,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,1,mL,"['2 mg', 'ml']"
PARACETAMOL SUGAR FREE,500,Oral,mg,TDS,Oral Suspension,250 mg/5ml,2005478,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
DIGOXIN PAEDIATRIC,62.5,Oral,microgram,OM,Oral Solution,50 micrograms/1ml,1003618,N,CARDIVASCULAR SYSTEM,02.01.01,Bottle,60,mL,"['50 micrograms', '1ml']"
TRAZODONE,50,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,8H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,8H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
KETAMINE (ORANGE),10,Oral,mg,8H,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,20,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,20,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,5,Oral,mg,Every 4 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
PARACETAMOL SUGAR FREE,250,Oral,mg,6H,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
RANITIDINE,75,Oral,mg,BD,Oral Solution Sugar Free,75 mg/5ml,1006886,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,100,mL,"['75 mg', '5ml']"
RANITIDINE,75,Oral,mg,BD,Oral Solution Sugar Free,75 mg/5ml,1006886,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Bottle,300,mL,"['75 mg', '5ml']"
PHENOXYMETHYLPENICILLIN,250,Oral,mg,QDS,Oral Solution Sugar Free,250 mg/5ml,1013086,N,INFECTIONS,05.01.01.01,Bottle,1,mL,"['250 mg', '5ml']"
FUSIDIC ACID,500,Oral,mg,TDS,Oral Suspension,250 mg/5ml,1003533,N,INFECTIONS,05.01.07,Bottle,50,mL,"['250 mg', '5ml']"
FUSIDIC ACID,500,Oral,mg,TDS,Oral Suspension,250 mg/5ml,1003533,N,INFECTIONS,05.01.07,Pack,90,mL,"['250 mg', '5ml']"
FUSIDIC ACID,500,Oral,mg,QDS,Oral Suspension,250 mg/5ml,1003533,N,INFECTIONS,05.01.07,Bottle,50,mL,"['250 mg', '5ml']"
FUSIDIC ACID,500,Oral,mg,QDS,Oral Suspension,250 mg/5ml,1003533,N,INFECTIONS,05.01.07,Pack,90,mL,"['250 mg', '5ml']"
OXYCODONE,5,Oral,mg,3 hourly PRN,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
METRONIDAZOLE,400,PO / NG / PEG,mg,TDS,Oral Suspension,200 mg/5ml,1006405,N,INFECTIONS,05.01.11,Bottle,100,mL,"['200 mg', '5ml']"
MEMANTINE,10,Oral,mg,OM,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,50,mL,"['10 mg', 'ml']"
MEMANTINE,10,Oral,mg,OM,Oral Solution Sugar Free,10 mg/ml,1008900,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,100,mL,"['10 mg', 'ml']"
CLARITHROMYCIN,500,Oral,mg,BD,Oral Suspension,250 mg/5ml,9005628,N,INFECTIONS,05.01.05,Pack,1,mL,"['250 mg', '5ml']"
KETAMINE (ORANGE),40,Oral,mg,QDS,Oral Solution,50 mg/5ml,1019238,N,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
KETAMINE (ORANGE),30,Oral,mg,QDS,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
OXYCODONE,5,Oral,mg,3H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,10,Oral,mg,3H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,3H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,20,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,20,Oral,mg,6H,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
CETIRIZINE,5,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,2005918,N,RESPIRATORY SYSTEM,03.04.01,Bottle,200,mL,"['1 mg', 'ml']"
OXYCODONE,5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
PREDNISOLONE,36,Oral,mg,OM,Oral Solution Sugar Free,10 mg/1ml,9008211,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,mL,"['10 mg', '1ml']"
METHADONE,70,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,70,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE,20,Oral,mg,TDS,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,20,Oral,mg,TDS,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE,60,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,60,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE,20,Oral,mg,TDS,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,20,Oral,mg,TDS,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE,20,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,20,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
PROMETHAZINE HYDROCHLORIDE,10,Oral,mg,ON,Oral Solution,5 mg/5ml,1006297,N,RESPIRATORY SYSTEM,03.04.01,Bottle,100,mL,"['5 mg', '5ml']"
PARACETAMOL SUGAR FREE,300,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
PREGABALIN,75,Oral,mg,BD,Oral Solution Sugar Free,20 mg/ml,1019297,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,473,mL,"['20 mg', 'ml']"
PREGABALIN,50,Oral,mg,BD,Oral Solution Sugar Free,20 mg/ml,1019297,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,473,mL,"['20 mg', 'ml']"
PREGABALIN,25,Oral,mg,BD,Oral Solution Sugar Free,20 mg/ml,1019297,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,473,mL,"['20 mg', 'ml']"
PREGABALIN,25,Oral,mg,ON,Oral Solution Sugar Free,20 mg/ml,1019297,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,473,mL,"['20 mg', 'ml']"
FLUOXETINE,20,Oral,mg,OM,Oral Solution,20 mg/5ml,2005552,N,CENTRAL NERVOUS SYSTEM,04.03.03,Bottle,70,mL,"['20 mg', '5ml']"
FLUOXETINE,8,Oral,mg,OM,Oral Solution,20 mg/5ml,2005552,N,CENTRAL NERVOUS SYSTEM,04.03.03,Bottle,70,mL,"['20 mg', '5ml']"
BACLOFEN,5,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
BACLOFEN,15,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
METHADONE (contains sugar),40,Oral,mg,BD,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
METHADONE,30,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,30,Oral,mg,ON,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,30,Oral,mg,OD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE,30,Oral,mg,ON,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE (contains sugar),40,Oral,mg,OM,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
OXYCODONE,1.25,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
RIVASTIGMINE,3,Oral,mg,BD,Oral Solution,2 mg/ml,1019473,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,120,mL,"['2 mg', 'ml']"
MORPHINE SULFATE,2.5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PROCHLORPERAZINE,5,Oral,mg,TDS,Oral Solution,5 mg/5ml,1004605,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,100,mL,"['5 mg', '5ml']"
PREDNISOLONE,40,Oral,mg,OM,Oral Solution Sugar Free,10 mg/1ml,9008211,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,mL,"['10 mg', '1ml']"
MORPHINE SULFATE,15,Oral,mg,Every 3 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,15,Oral,mg,Every 3 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
LOPERAMIDE,1,PEG,mg,QDS,Oral Solution,1 mg/5ml,1004003,Y,GASTRO-INTESTINAL SYSTEM,01.04.02,Bottle,100,mL,"['1 mg', '5ml']"
CARBOCISTEINE,750,PEG,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
BACLOFEN,30,PEG,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
ATENOLOL,25,PEG,mg,OM,Oral Solution Sugar Free,25 mg/5ml,1005070,N,CARDIVASCULAR SYSTEM,2.04,Bottle,300,mL,"['25 mg', '5ml']"
METRONIDAZOLE,400,PEG,mg,TDS,Oral Suspension,200 mg/5ml,1006405,N,INFECTIONS,05.01.11,Bottle,100,mL,"['200 mg', '5ml']"
ATENOLOL,25,Oral,mg,OM,Oral Solution Sugar Free,25 mg/5ml,1005070,N,CARDIVASCULAR SYSTEM,2.04,Bottle,300,mL,"['25 mg', '5ml']"
PARACETAMOL SUGAR FREE,"1,000.00",PEG,mg,QDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
METOCLOPRAMIDE,10,PEG,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1005899,Y,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,150,mL,"['5 mg', '5ml']"
CARBOCISTEINE,750,PEG,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
BACLOFEN,30,PEG,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
GLYCOPYRRONIUM,1,NG / PEG,mg,TDS,Oral Solution,1 mg/1ml,1019775,N,SKIN,13.12,Pack,100,mL,"['1 mg', '1ml']"
GLYCOPYRRONIUM,1,NG / PEG,mg,TDS,Oral Solution,1 mg/1ml,1019775,N,SKIN,13.12,Pack,200,mL,"['1 mg', '1ml']"
GLYCOPYRRONIUM,1,Oral,mg,TDS,Oral Solution,1 mg/1ml,1019775,N,SKIN,13.12,Pack,100,mL,"['1 mg', '1ml']"
GLYCOPYRRONIUM,1,Oral,mg,TDS,Oral Solution,1 mg/1ml,1019775,N,SKIN,13.12,Pack,200,mL,"['1 mg', '1ml']"
CARBOCISTEINE,500,PEG,mg,TDS,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
LOPERAMIDE,20,PEG,mg,QDS,Oral Solution,1 mg/5ml,1004003,Y,GASTRO-INTESTINAL SYSTEM,01.04.02,Bottle,100,mL,"['1 mg', '5ml']"
LOPERAMIDE,2,PEG,mg,QDS,Oral Solution,1 mg/5ml,1004003,Y,GASTRO-INTESTINAL SYSTEM,01.04.02,Bottle,100,mL,"['1 mg', '5ml']"
METHADONE,50,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,50,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
OXYCODONE,10,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,6H,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
FLUCLOXACILLIN,"1,000.00",Oral,mg,QDS,Oral Solution,250 mg/5ml,1002884,N,INFECTIONS,05.01.01.02,Bottle,100,mL,"['250 mg', '5ml']"
FOLIC ACID,5,Oral,mg,OM,Oral Solution Sugar Free,2.5 mg/5ml,1003508,N,NUTRITION AND BLOOD,09.01.02,Pack,150,mL,"['2.5 mg', '5ml']"
CARBOCISTEINE,750,Oral,mg,BD,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
PARACETAMOL SUGAR FREE,250,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
LOPERAMIDE,4,Oral,mg,QDS,Oral Solution,1 mg/5ml,1004003,Y,GASTRO-INTESTINAL SYSTEM,01.04.02,Bottle,100,mL,"['1 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
METFORMIN,500,Oral,mg,TDS,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,100,mL,"['500 mg', '5ml']"
METFORMIN,500,Oral,mg,TDS,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,150,mL,"['500 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
METOCLOPRAMIDE,10,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1005899,Y,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,150,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,1.24,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,1.24,Oral,mg,QDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
BACLOFEN,20,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
SODIUM VALPROATE,300,Oral,mg,BD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
FERROUS FUMARATE,210,NG,mg,BD,Oral Solution Sugar Free,140 mg/5ml,2009231,N,NUTRITION AND BLOOD,09.01.01.01,Pack,300,mL,"['140 mg', '5ml']"
FLUCLOXACILLIN,500,Oral,mg,QDS,Oral Solution,250 mg/5ml,1002884,N,INFECTIONS,05.01.01.02,Bottle,100,mL,"['250 mg', '5ml']"
